Lift,Knowledge,Regression,R2,RMSE,Std,Sample size
Squat,Glossbrenner,RF,0.95,0.03,0.15,20000
Squat,Wilks,RF,0.95,0.03,0.14,20000
Squat,2-Lifts,RF,0.87,0.05,0.15,20000
Squat,Bench,RF,0.78,0.06,0.14,20000
Squat,Deadlift,RF,0.82,0.05,0.15,20000
Squat,None,RF,0.51,0.09,0.15,20000
Bench,Glossbrenner,RF,0.89,0.05,0.14,20000
Bench,Wilks,RF,0.89,0.04,0.12,20000
Bench,2-Lifts,RF,0.83,0.05,0.13,20000
Bench,Squat,RF,0.84,0.05,0.13,20000
Bench,Deadlift,RF,0.76,0.04,0.09,20000
Bench,None,RF,0.59,0.07,0.13,20000
Deadlift,Glossbrenner,RF,0.92,0.04,0.15,20000
Deadlift,Wilks,RF,0.93,0.04,0.16,20000
Deadlift,2-Lifts,RF,0.85,0.06,0.16,20000
Deadlift,Squat,RF,0.85,0.06,0.15,20000
Deadlift,Bench,RF,0.73,0.07,0.16,20000
Deadlift,None,RF,0.5,0.09,0.14,20000
Squat,Glossbrenner,Lin,0.92,0.04,0.15,20000
Squat,Wilks,Lin,0.92,0.04,0.14,20000
Squat,2-Lifts,Lin,0.88,0.05,0.15,20000
Squat,Bench,Lin,0.8,0.06,0.14,20000
Squat,Deadlift,Lin,0.81,0.05,0.14,20000
Squat,None,Lin,0.37,0.09,0.15,20000
Bench,Glossbrenner,Lin,0.86,0.05,0.14,20000
Bench,Wilks,Lin,0.86,0.04,0.12,20000
Bench,2-Lifts,Lin,0.82,0.05,0.13,20000
Bench,Squat,Lin,0.83,0.05,0.13,20000
Bench,Deadlift,Lin,0.72,0.04,0.09,20000
Bench,None,Lin,0.46,0.08,0.13,20000
Deadlift,Glossbrenner,Lin,0.89,0.05,0.15,20000
Deadlift,Wilks,Lin,0.89,0.05,0.16,20000
Deadlift,2-Lifts,Lin,0.84,0.06,0.16,20000
Deadlift,Squat,Lin,0.84,0.06,0.15,20000
Deadlift,Bench,Lin,0.71,0.08,0.16,20000
Deadlift,None,Lin,0.4,0.09,0.14,20000
Squat,Glossbrenner,RF,0.96,0.02,0.09,396530
Bench,Glossbrenner,RF,0.9,0.02,0.08,396530
Deadlift,Glossbrenner,RF,0.93,0.04,0.14,396530
Squat,Glossbrenner,Lin,0.93,0.02,0.09,396530
Bench,Glossbrenner,Lin,0.87,0.03,0.08,396530
Deadlift,Glossbrenner,Lin,0.89,0.04,0.14,396530
